date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:29:11	38464/38464	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2025%20Mar%202020%2005:29:13%20GMT	https://inoscuisine.com/fonts/eras.ttf	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/fonts/eras.ttf	(from https://inoscuisine.com/index.php)
12:29:12	38464/38464	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2025%20Mar%202020%2005:29:14%20GMT	https://inoscuisine.com/fonts/fontello.eot?14587781	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/fonts/fontello644e.eot	(from https://inoscuisine.com/index.php)
12:29:13	38464/38464	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2025%20Mar%202020%2005:29:15%20GMT	https://inoscuisine.com/fonts/fontello.woff?14587781	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/fonts/fontello644e.woff	(from https://inoscuisine.com/index.php)
12:29:14	38464/38464	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2025%20Mar%202020%2005:29:16%20GMT	https://inoscuisine.com/fonts/fontello.ttf?14587781	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/fonts/fontello644e.ttf	(from https://inoscuisine.com/index.php)
12:29:15	38464/38464	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2025%20Mar%202020%2005:29:17%20GMT	https://inoscuisine.com/fonts/fontello.svg?14587781	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/fonts/fontello644e.svg	(from https://inoscuisine.com/index.php)
12:29:24	38875/38875	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Mar%202020%2005:29:25%20GMT	https://inoscuisine.com/products-page/cookie/	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/products-page/cookie/index.html	(from https://inoscuisine.com/index.php)
12:29:36	27822/27822	---M-Z	200	added ('OK')	text/javascript	etag:%221544639630%22	http://netdna.bootstrapcdn.com/bootstrap/3.0.3/js/bootstrap.min.js	F:/dony/httrack/inos.old/inos.old4/netdna.bootstrapcdn.com/bootstrap/3.0.3/js/bootstrap.min.js	(from https://inoscuisine.com/index.php)
12:29:37	0/0	---MC-	302	error ('Found')	text/html	date:Wed,%2025%20Mar%202020%2005:29:39%20GMT	http://inos.aksisoft.com/wp-content/uploads/2015/05/tumblr_mjc8gxPaaw1s773u2o2_r3_1280-1.jpg	F:/dony/httrack/inos.old/inos.old4/inos.aksisoft.com/wp-content/uploads/2015/05/tumblr_mjc8gxPaaw1s773u2o2_r3_1280-1.jpg	(from https://inoscuisine.com/index.php)
12:29:37	39129/39129	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Mar%202020%2005:29:39%20GMT	https://inoscuisine.com/home/	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/home/index.html	(from https://inoscuisine.com/index.php)
12:29:38	9174/9174	---M-Z	200	added ('OK')	application/javascript	etag:%2223d6-4fa5ec244c800-gzip%22	https://inoscuisine.com/wp-content/themes/storefront-paper/js/modernizr.custom.js	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/wp-content/themes/storefront-paper/js/modernizr.custom.js	(from https://inoscuisine.com/products-page/cookie/)
12:29:38	39081/39081	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Mar%202020%2005:29:40%20GMT	https://inoscuisine.com/about/	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/about/index.html	(from https://inoscuisine.com/index.php)
12:29:38	39105/39105	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Mar%202020%2005:29:40%20GMT	https://inoscuisine.com/contact-us/	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/contact-us/index.html	(from https://inoscuisine.com/index.php)
12:29:38	662/662	---M-Z	200	added ('OK')	text/css	etag:%22296-578634321f89c-gzip%22	https://inoscuisine.com/wp-content/plugins/wp-e-commerce/wpsc-components/fancy-notifications/css/fancy-notifications.css?ver=1.0	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/wp-content/plugins/wp-e-commerce/wpsc-components/fancy-notifications/css/fancy-notifications5152.css	(from https://inoscuisine.com/products-page/cookie/)
12:29:39	32243/32243	---M-Z	200	added ('OK')	text/css	etag:%227df3-4fac35779a800-gzip%22	https://inoscuisine.com/wp-content/themes/storefront-paper/style.css?ver=4.9.13	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/wp-content/themes/storefront-paper/stylec8f9.css	(from https://inoscuisine.com/products-page/cookie/)
12:29:39	1453/1453	---M-Z	200	added ('OK')	application/rss+xml	etag:%2203c30a6b4767f8d6ba2d31844cbdfa40-gzip%22	https://inoscuisine.com/comments/feed/	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/comments/feed/index.html	(from https://inoscuisine.com/products-page/cookie/)
12:29:39	4058/4058	---M-Z	200	added ('OK')	text/css	etag:%22fda-5786342d7d03c-gzip%22	https://inoscuisine.com/wp-content/plugins/easy-fancybox/css/jquery.fancybox.1.3.23.min.css	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/wp-content/plugins/easy-fancybox/css/jquery.fancybox.1.3.23.min.css	(from https://inoscuisine.com/products-page/cookie/)
12:29:39	1646/1646	---M-Z	200	added ('OK')	application/rss+xml	etag:%2203f9c781566adfb156e9047a9fb70289-gzip%22	https://inoscuisine.com/feed/	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/feed/index.html	(from https://inoscuisine.com/products-page/cookie/)
12:29:40	93435/93435	---MC-	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.8.2/jquery.min.js?ver=1.8.1	F:/dony/httrack/inos.old/inos.old4/ajax.googleapis.com/ajax/libs/jquery/1.8.2/jquery.minc245.js	(from https://inoscuisine.com/products-page/cookie/)
12:29:40	52836/52836	---M-Z	200	added ('OK')	application/javascript	etag:%22ce64-57863432265fc-gzip%22	https://inoscuisine.com/wp-content/plugins/wp-e-commerce/wpsc-core/js/wp-e-commerce.js?ver=3.13.1.361d748	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/wp-content/plugins/wp-e-commerce/wpsc-core/js/wp-e-commercea74d.js	(from https://inoscuisine.com/products-page/cookie/)
12:29:40	14438/14438	---M-Z	200	added ('OK')	application/javascript	etag:%223866-57863432265fc-gzip%22	https://inoscuisine.com/wp-content/plugins/wp-e-commerce/wpsc-core/js/user.js?ver=3.13.1361d748	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/wp-content/plugins/wp-e-commerce/wpsc-core/js/user9071.js	(from https://inoscuisine.com/products-page/cookie/)
